Date,UHI,NDVI,Population,Albedo,NO2_Total,NO2_Tropospheric,NO2_Stratospheric,Aerosol_Index,Cloud_Fraction,GHSL_Built
2018-07-12,3.5502936465563195,3045.0,24118.0234375,0.12738750000000001,8.587483144288677e-05,5.3795241547049956e-05,3.9407882334918233e-05,-0.5762802263591116,0.2908472821174686,1.0
2018-07-28,2.3899999999999864,2495.0,24118.0234375,0.11887641025641024,7.916058673577514e-05,5.631130807159934e-05,4.029546340399631e-05,0.014373772012598549,0.34409342099373347,1.0
2018-08-13,4.803075280299005,2888.0,24118.0234375,0.1219375,9.254428607144331e-05,5.661474740869368e-05,3.859401760903044e-05,-0.3451788547371747,0.34103060541286,1.0
2018-08-29,3.1055472504004484,3086.0,24118.0234375,0.136,9.802398082755865e-05,6.929306150056768e-05,3.9270390982336806e-05,-0.8278716964494043,0.26624372235644356,1.0
2018-09-14,4.632552055525906,3301.0,24118.0234375,0.127,9.493246634749701e-05,4.768371745851245e-05,3.892012948851732e-05,-1.1129541766064097,0.2632660307436383,1.0
2018-09-30,3.8836465563267737,3228.0,24118.0234375,0.12712500000000002,8.426509382946028e-05,3.8162962492889925e-05,3.7251727947077555e-05,-0.8477129642393765,0.2890603411581671,1.0
2018-10-16,4.148761345435119,3508.0,24118.0234375,0.1271310606060606,0.00010825496565755351,6.928383577882544e-05,3.704634612820423e-05,-0.9013003603083971,0.3234060012428655,1.0
2018-11-01,3.9309921524663594,2274.0,24118.0234375,0.12603863636363638,9.356987899197102e-05,5.493087278209255e-05,3.540269015675118e-05,-0.9442634723433337,0.301111384916981,1.0
2018-11-17,3.0961879337960347,3951.0,24118.0234375,0.14075000000000001,0.00011761015547488436,8.589526557500184e-05,3.4344435382922506e-05,-1.0690406607358842,0.20642446185026933,1.0
2018-12-03,2.3897010144153796,3550.0,24118.0234375,0.138,0.0001011317660598663,4.071132828399222e-05,3.4389118570721254e-05,-0.8068204001380173,0.23540318636471547,1.0
2018-12-19,0.6707456842854285,3586.0,24118.0234375,0.10525,0.0001256742931961265,0.00011260339522273897,3.251153333580861e-05,-0.9359896081189127,0.2602867026979943,1.0
2019-01-04,2.3837266417512204,2990.0,24118.0234375,0.11031250000000001,0.00010598894555947453,7.212492984624581e-05,3.2000517509312135e-05,-1.1456984218462782,0.07514446284056762,1.0
2019-01-20,1.8662466631073364,2773.0,24118.0234375,0.1228125,0.00010135609474058857,7.225693958789691e-05,3.089386755018554e-05,-1.1189294120862863,0.11443720619717172,1.0
2019-02-05,2.415942338494368,2707.0,24118.0234375,0.122,7.02251246131296e-05,3.734451921555524e-05,3.2656593137024644e-05,-1.1058294020291046,0.0757589522823546,1.0
2019-02-21,0.9936145221569603,2620.0,24118.0234375,0.1280625,7.601876257266788e-05,4.0837077411212974e-05,3.518168549132816e-05,-0.9164450478110844,0.01865199321027237,1.0
2019-03-09,1.8443940202882985,2711.0,24118.0234375,0.128125,7.303682995567039e-05,3.6302618110645084e-05,3.6734211255109696e-05,-0.7987813051461119,0.004005191452312531,1.0
2019-03-25,1.559081687132931,2672.0,24118.0234375,0.1285625,8.177261098520561e-05,4.173364697408716e-05,4.003896367361007e-05,-0.5276476561517355,0.011039813493740518,1.0
2019-04-10,3.406753870795498,2431.0,24118.0234375,0.1243125,7.105706300549888e-05,3.1746602046127684e-05,3.931046059676309e-05,-0.8520708413989179,0.015144790936913082,1.0
2019-04-26,1.643299519487421,2406.0,24118.0234375,0.122625,0.00010004895370451482,6.736677958191177e-05,3.9030548603474495e-05,-0.7898507648394657,0.14502715482002493,1.0
2019-05-12,1.0836572343833524,2420.0,24118.0234375,0.1254375,8.425833269285919e-05,4.110791871867974e-05,4.315041499519179e-05,-0.8838155186749207,0.02653313677995247,1.0
2019-05-28,1.5068606513614782,2436.0,24118.0234375,0.12261538461538461,0.00011076405492752936,6.077748771161294e-05,4.516558268133194e-05,-1.1172727794470196,0.10938760999619232,1.0
2019-06-13,0.8098878804057819,2684.0,24118.0234375,0.1320909090909091,0.00011909527199063643,8.236652725113262e-05,4.426154554671199e-05,-0.9482237729382315,0.3087246961037517,1.0
2019-06-29,5.01067264573993,2692.0,24118.0234375,0.1277681818181818,9.621614696444978e-05,8.677983091079764e-05,4.189663863682409e-05,-0.7786801888643852,0.36616130155217824,1.0
2019-07-15,6.2261204013377665,3054.0,24118.0234375,0.128,9.097425747765888e-05,7.359955573162489e-05,3.914776924568321e-05,-1.4089589530220425,0.41365777556272415,1.0
2019-07-31,2.8698878923767026,2348.0,24118.0234375,0.129,8.476011483849805e-05,4.9464138101029675e-05,3.816161141007714e-05,-1.0641780520583923,0.37706395405497917,1.0
2019-08-16,2.5039999999999836,3116.0,24118.0234375,0.1352375,8.830686721098947e-05,5.613196929094271e-05,3.871695569553781e-05,-1.0669294248815386,0.291773057629106,1.0
2019-09-01,7.802947214076248,3287.0,24118.0234375,0.12243598484848486,8.485839915163371e-05,5.351365386256172e-05,3.49432032891177e-05,-1.240729995438374,0.26071587672058866,1.0
2019-09-17,4.187474639615591,3542.0,24118.0234375,0.12366666666666667,8.878167148638661e-05,4.7734881996662473e-05,3.290262259618988e-05,-1.5520989880384255,0.30546900871200844,1.0
2019-10-03,3.010090763481031,1473.0,24118.0234375,0.126,6.797844738753417e-05,3.921112432262157e-05,3.203761372537181e-05,-1.4127025004517064,0.1943969612522075,1.0
2019-10-19,3.0515856914041706,3998.0,24118.0234375,0.13173253968253967,7.142916952851343e-05,4.2692070416658877e-05,3.0874734645653355e-05,-1.296112739091207,0.4754991646203689,1.0
2019-11-04,3.7610037373198324,2127.0,24118.0234375,0.1288181818181818,0.00011543394510980681,0.00010293203972127036,2.9079699863941083e-05,-1.3987589437187367,0.20562867244480318,1.0
2019-11-20,1.5177202349172454,3512.0,24118.0234375,0.122,6.068127170085614e-05,4.419378939651159e-05,2.6566508609334552e-05,-1.025470351407728,0.4073008322196753,1.0
2019-12-06,2.9575173518419646,3638.0,24118.0234375,0.124,6.465018179465165e-05,3.0920019641585994e-05,2.661920008165276e-05,-1.4071152286584034,0.2495960189104812,1.0
2019-12-22,3.183801388147341,3204.0,24118.0234375,0.129375,6.84435907063333e-05,5.446208061804707e-05,2.5051392232868954e-05,-1.5049489973471544,0.2135367260140092,1.0
